"Posting Tweets","Posting Tweets","Posting Tweets","Objavljivanje Tweetova","Posting Tweets","Posting Tweets","Posting Tweets","Posting Tweets","Posting Tweets","Envoyer des Tweets","Posting Tweets","Posting Tweets","Posting Tweets","ツイートの投稿","Posting Tweets","Posting Tweets","Postando Tweets","Posting Tweets","Publicar un tweet","Publicar un tweet","Publicar Tweets","Posting Tweets","Posting Tweets","Posting Tweets"
"This user will be able to use Twitter as @{{contributee.getUsername}}, including:","This user will be able to use Twitter as @{{contributee.getUsername}}, including:","This user will be able to use Twitter as @{{contributee.getUsername}}, including:","Ovaj korisnik biti će u mogućnosti koristiti Twitter kao @{{contributee.getUsername}}, uključujući:","This user will be able to use Twitter as @{{contributee.getUsername}}, including:","This user will be able to use Twitter as @{{contributee.getUsername}}, including:","This user will be able to use Twitter as @{{contributee.getUsername}}, including:","This user will be able to use Twitter as @{{contributee.getUsername}}, including:","This user will be able to use Twitter as @{{contributee.getUsername}}, including:","Cet·te utilisateur·ice sera capable d'utiliser Twitter en tant que @{{contributee.getUsername}}, cela inclus également:","This user will be able to use Twitter as @{{contributee.getUsername}}, including:","This user will be able to use Twitter as @{{contributee.getUsername}}, including:","This user will be able to use Twitter as @{{contributee.getUsername}}, including:","このユーザーは @{{contributee.getUsername}} として Twitter を使用して以下のことができるようになります。","This user will be able to use Twitter as @{{contributee.getUsername}}, including:","This user will be able to use Twitter as @{{contributee.getUsername}}, including:","Este usuário será capaz de usar o Twitter como @{{contributee.getUsername}}, incluindo:","This user will be able to use Twitter as @{{contributee.getUsername}}, including:","Este usuario será capaz de usar Twitter como @{{contributee.getUsername}}, incluyendo:","Este usuario será capaz de usar Twitter como @{{contributee.getUsername}}, incluyendo:","Este usuario podrá usar Twitter como @{{contributee.getUsername}}, lo que incluye:","This user will be able to use Twitter as @{{contributee.getUsername}}, including:","This user will be able to use Twitter as @{{contributee.getUsername}}, including:","This user will be able to use Twitter as @{{contributee.getUsername}}, including:"
"You are signed in as @{{user.screenName}}, so this will remove @{{contributee.getUsername}} from your TweetDeck and you will no longer be able to manage the team.","You are signed in as @{{user.screenName}}, so this will remove @{{contributee.getUsername}} from your TweetDeck and you will no longer be able to manage the team.","You are signed in as @{{user.screenName}}, so this will remove @{{contributee.getUsername}} from your TweetDeck and you will no longer be able to manage the team.","Prijavljeni ste kao @{{user.screenName}}, to će ukloniti @{{contributee.getUsername}} iz vašeg TweetDeck-a i više nećete biti u mogućnosti upravljati timom.","You are signed in as @{{user.screenName}}, so this will remove @{{contributee.getUsername}} from your TweetDeck and you will no longer be able to manage the team.","You are signed in as @{{user.screenName}}, so this will remove @{{contributee.getUsername}} from your TweetDeck and you will no longer be able to manage the team.","You are signed in as @{{user.screenName}}, so this will remove @{{contributee.getUsername}} from your TweetDeck and you will no longer be able to manage the team.","You are signed in as @{{user.screenName}}, so this will remove @{{contributee.getUsername}} from your TweetDeck and you will no longer be able to manage the team.","You are signed in as @{{user.screenName}}, so this will remove @{{contributee.getUsername}} from your TweetDeck and you will no longer be able to manage the team.","Vous êtes connecté·e en tant que @{{user.screenName}}, cette action va retirer @{{contributee.getUsername}} de votre TweetDeck et vous ne serez plus capable de gérer cette équipe.","You are signed in as @{{user.screenName}}, so this will remove @{{contributee.getUsername}} from your TweetDeck and you will no longer be able to manage the team.","You are signed in as @{{user.screenName}}, so this will remove @{{contributee.getUsername}} from your TweetDeck and you will no longer be able to manage the team.","You are signed in as @{{user.screenName}}, so this will remove @{{contributee.getUsername}} from your TweetDeck and you will no longer be able to manage the team.","あなたは @{{user.screenName}} としてサインインしたため、TweetDeck から @{{contributee.getUsername}} が削除され、チームを管理することはできなくなります。","You are signed in as @{{user.screenName}}, so this will remove @{{contributee.getUsername}} from your TweetDeck and you will no longer be able to manage the team.","You are signed in as @{{user.screenName}}, so this will remove @{{contributee.getUsername}} from your TweetDeck and you will no longer be able to manage the team.","Você está conectado como @{{user.screenName}}, então isto irá remover @{{contributee.getUsername}} de seu TweetDeck e você já não será capaz de gerenciar a equipe.","You are signed in as @{{user.screenName}}, so this will remove @{{contributee.getUsername}} from your TweetDeck and you will no longer be able to manage the team.","Te registras como @{{user.screenName}}, así que esto eliminará @{{contributee.getUsername}} desde el TweetDeck y usted no será capaz de manejar el equipo.","Te registras como @{{user.screenName}}, así que esto eliminará @{{contributee.getUsername}} desde el TweetDeck y usted no será capaz de manejar el equipo.","Has iniciado sesión como @{{user.screenName}}, por lo que eliminarás a @{{contributee.getUsername}} de tu TweetDeck y ya no podrás administrar el equipo.","You are signed in as @{{user.screenName}}, so this will remove @{{contributee.getUsername}} from your TweetDeck and you will no longer be able to manage the team.","You are signed in as @{{user.screenName}}, so this will remove @{{contributee.getUsername}} from your TweetDeck and you will no longer be able to manage the team.","You are signed in as @{{user.screenName}}, so this will remove @{{contributee.getUsername}} from your TweetDeck and you will no longer be able to manage the team."
"Admin","Admin","Администратор","Admin","Admin","Admin","Admin","Admin","Admin","Administrateur","Admin","Admin","Admin","管理者","Admin","Administrator","Administrador","Admin","Administrador","Administrador","Administrador","Admin","Admin","Admin"
"Remove @{{user.screenName}} from the team?","Remove @{{user.screenName}} from the team?","Remove @{{user.screenName}} from the team?","Ukloniti @{{user.screenName}} iz tima?","Remove @{{user.screenName}} from the team?","Remove @{{user.screenName}} from the team?","Remove @{{user.screenName}} from the team?","Remove @{{user.screenName}} from the team?","Remove @{{user.screenName}} from the team?","Retirer @{{user.screenName}} de l'équipe ?","Remove @{{user.screenName}} from the team?","Remove @{{user.screenName}} from the team?","Remove @{{user.screenName}} from the team?","@{{user.screenName}} をチームから外しますか？","Remove @{{user.screenName}} from the team?","Remove @{{user.screenName}} from the team?","Remover @{{user.screenName}} da equipe?","Remove @{{user.screenName}} from the team?","¿Quitar @{{user.screenName}} del equipo?","¿Quitar @{{user.screenName}} del equipo?","¿Elimimar a @{{user.screenName}} del equipo?","Remove @{{user.screenName}} from the team?","Remove @{{user.screenName}} from the team?","Remove @{{user.screenName}} from the team?"
"Remove from team","Remove from team","Remove from team","Ukloni iz tima","Remove from team","Remove from team","Remove from team","Remove from team","Remove from team","Retirer de l'équipe","Remove from team","Remove from team","Remove from team","チームから外す","Remove from team","Remove from team","Remover da equipe","Remove from team","Quitar del equipo","Quitar del equipo","Eliminar del equipo","Remove from team","Remove from team","Remove from team"
"Confirm","Confirm","Потвърди","Potvrdi","Confirm","Confirm","Confirm","Confirm","Confirm","Confirmer","Confirm","Confirm","Confirm","確定する","Confirm","Zatwierdź","Confirmar","Confirm","Confirmar","Confirmar","Confirmar","Confirm","Confirm","Confirm"
"Can Tweet and manage team","Can Tweet and manage team","Can Tweet and manage team","Može Tweetati i upravljati timom","Can Tweet and manage team","Can Tweet and manage team","Can Tweet and manage team","Can Tweet and manage team","Can Tweet and manage team","Peut Tweeter et gérer l'équipe","Can Tweet and manage team","Can Tweet and manage team","Can Tweet and manage team","ツイートとチームの管理ができます","Can Tweet and manage team","Can Tweet and manage team","Pode Tweetar e gerenciar a equipe","Can Tweet and manage team","Puede Twittear y administrar el equipo","Puede Twittear y administrar el equipo","Puede Twittear y administrar el equipo","Can Tweet and manage team","Can Tweet and manage team","Can Tweet and manage team"
"Can Tweet as @{{contributee.getUsername}}","Can Tweet as @{{contributee.getUsername}}","Can Tweet as @{{contributee.getUsername}}","Može Tweetati kao @{{contributee.getUsername}}","Can Tweet as @{{contributee.getUsername}}","Can Tweet as @{{contributee.getUsername}}","Can Tweet as @{{contributee.getUsername}}","Can Tweet as @{{contributee.getUsername}}","Can Tweet as @{{contributee.getUsername}}","Peut Tweeter en tant que @{{contributee.getUsername}}","Can Tweet as @{{contributee.getUsername}}","Can Tweet as @{{contributee.getUsername}}","Can Tweet as @{{contributee.getUsername}}","@{{contributee.getUsername}} としてツイートができます","Can Tweet as @{{contributee.getUsername}}","Can Tweet as @{{contributee.getUsername}}","Pode Tweetar como @{{contributee.getUsername}}","Can Tweet as @{{contributee.getUsername}}","Puede Twittear como @{{contributee.getUsername}}","Puede Twittear como @{{contributee.getUsername}}","Puede Twittear como @{{contributee.getUsername}}","Can Tweet as @{{contributee.getUsername}}","Can Tweet as @{{contributee.getUsername}}","Can Tweet as @{{contributee.getUsername}}"
"Contributor","Contributor","Contributor","Suradnik","Contributor","Contributor","Contributor","Contributor","Contributor","Contributeur·ice","Contributor","Contributor","Contributor","投稿者","Contributor","Contributor","Colaborador","Contributor","Colaborador","Colaborador","Colaborador","Contributor","Contributor","Contributor"
"Pending requests","Pending requests","Pending requests","Zahtjevi na čekanju","Pending requests","Pending requests","Pending requests","Pending requests","Pending requests","Requêtes en attente","Pending requests","Pending requests","Pending requests","保留中のリクエスト","Pending requests","Pending requests","Solicitações pendentes","Pending requests","Solicitudes pendientes","Solicitudes pendientes","Solicitudes pendientes","Pending requests","Pending requests","Pending requests"
"What's happening?","What's happening?","What's happening?","Šta se događa?","What's happening?","What's happening?","What's happening?","What's happening?","What's happening?","Quoi de neuf ?","What's happening?","What's happening?","What's happening?","いまどうしてる？","What's happening?","Co się dzieje?","O que está acontecendo?","What's happening?","¿Qué está pasando?","¿Qué está pasando?","¿Qué está pasando?","What's happening?","What's happening?","What's happening?"
"Retweet","Retweet","Retweet","Retweet","Retweet","Retweet","Retweet","Retweet","Retweet","Retweeter","Retweet","Retweet","Retweet","リツイート","Retweet","Podaj dalej","Retweetar","Retweet","Retwittear","Retwittear","Retwittear","Retweet","Retweet","Retweet"
"Retweet with comment","Retweet with comment","Retweet with comment","Retweet s komentarom","Retweet with comment","Retweet with comment","Retweet with comment","Retweet with comment","Retweet with comment","Ajouter un commentaire","Retweet with comment","Retweet with comment","Retweet with comment","コメント付きで引用ツイート","Retweet with comment","Podaj dalej z komentarzem","Retweetar com comentário","Retweet with comment","Retwittear con comentario","Retwittear con comentario","Retwittear con comentario","Retweet with comment","Retweet with comment","Retweet with comment"
"Create new List","Create new list","Create new List","Stvori novi popis","Create new List","Create new List","Create new list","Create new list","Create new List","Créer une nouvelle liste","Create new List","Create new List","Create new List","新しいリストを作成","Create new List","Utwórz nową listę","Criar nova lista","Create new List","Crear lista nueva","Crear lista nueva","Crear lista nueva","Create new List","Create new List","Create new List"
"New List","New List","Нов списък","Novi popis","New List","New List","New List","New List","New List","Nouvelle liste","New List","New List","New List","新しいリスト","New List","Nowa lista","Nova Lista","New List","Lista Nueva","Lista Nueva","Lista Nueva","New List","New List","New List"
"Move here","Move here","Премести тук","Premjesti ovdje","Move here","Move here","Move here","Move here","Move here","Déplacer ici","Move here","Move here","Move here","ここに移動","Move here","Move here","Mover para cá","Move here","Mover aquí","Mover aquí","Mover aquí","Move here","Move here","Move here"
"New Collection","New Collection","Нова колекция","Nova kolekcija","New Collection","New Collection","New Collection","New Collection","New Collection","Nouvelle collection","New Collection","New Collection","New Collection","新しいコレクション","New Collection","New Collection","Nova coleção","New Collection","Colección Nueva","Colección Nueva","Colección Nueva","New Collection","New Collection","New Collection"
"Create a new List","Create a new list","Create a new List","Stvori novi popis","Create a new List","Create a new List","Create a new list","Create a new list","Create a new List","Créer une nouvelle liste","Create a new List","Create a new List","Create a new List","新しいリストを作成","Create a new List","Create a new List","Criar uma nova lista","Create a new List","Crear una lista nueva","Crear una lista nueva","Crear una lista nueva","Create a new List","Create a new List","Create a new List"
"Create a new Collection","Create a new collection","Create a new Collection","Stvori novu zbirku","Create a new Collection","Create a new Collection","Create a new collection","Create a new collection","Create a new Collection","Créer une nouvelle collection","Create a new Collection","Create a new Collection","Create a new Collection","新しいコレクションを作成","Create a new Collection","Create a new Collection","Criar uma nova coleção","Create a new Collection","Crear una colección nueva","Crear una colección nueva","Crear una colección nueva","Create a new Collection","Create a new Collection","Create a new Collection"
"Create List","Create list","Create List","Stvori popis","Create List","Create List","Create list","Create list","Create List","Créer liste","Create List","Create List","Create List","リストを作成","Create List","Utwórz listę","Criar lista","Create List","Crear una lista","Crear una lista","Crear una lista","Create List","Create List","Create List"
"from","from","от","od","from","from","from","from","from","de","from","from","from","from","from","z","de","from","desde","desde","desde","from","from","from"
"Linking another account here will add","Linking another account here will add","Linking another account here will add","Povezivanje drugog računa ovdje će dodati","Linking another account here will add","Linking another account here will add","Linking another account here will add","Linking another account here will add","Linking another account here will add","Lier un autre compte ajoutera","Linking another account here will add","Linking another account here will add","Linking another account here will add","ここで他のアカウントとリンクすることで、","Linking another account here will add","Linking another account here will add","Conectando outra conta aqui irá adicionar","Linking another account here will add","Enlazar otra cuenta va a añadir a","Enlazar otra cuenta va a añadir a","Enlazar otra cuenta va a añadir a","Linking another account here will add","Linking another account here will add","Linking another account here will add"
"as a contributor to that account, with admin privileges.","as a contributor to that account, with admin privileges.","as a contributor to that account, with admin privileges.","kao suradnika na tom računu, s admin dopuštenjima.","as a contributor to that account, with admin privileges.","as a contributor to that account, with admin privileges.","as a contributor to that account, with admin privileges.","as a contributor to that account, with admin privileges.","as a contributor to that account, with admin privileges.","en tant que contributeur·ice de ce compte, avec des privilèges administratifs.","as a contributor to that account, with admin privileges.","as a contributor to that account, with admin privileges.","as a contributor to that account, with admin privileges.","を対象アカウントの投稿者として管理者権限付きで追加することになります。","as a contributor to that account, with admin privileges.","as a contributor to that account, with admin privileges.","como um colaborador para essa conta, com privilégios de administrador.","as a contributor to that account, with admin privileges.","como colaborador a esa cuenta, con privilegios administrativos.","como colaborador a esa cuenta, con privilegios administrativos.","como colaborador a esa cuenta, con privilegios administrativos.","as a contributor to that account, with admin privileges.","as a contributor to that account, with admin privileges.","as a contributor to that account, with admin privileges."
"This means that when you or anyone else logs in to TweetDeck, Twitter for iOS or Twitter for Android as","This means that when you or anyone else logs in to TweetDeck, Twitter for iOS or Twitter for Android as","This means that when you or anyone else logs in to TweetDeck, Twitter for iOS or Twitter for Android as","To znači kada ti ili bilo tko drugi se prijavi na TweetDeck, Twitter za iOS ili Twitter za Android kao","This means that when you or anyone else logs in to TweetDeck, Twitter for iOS or Twitter for Android as","This means that when you or anyone else logs in to TweetDeck, Twitter for iOS or Twitter for Android as","This means that when you or anyone else logs in to TweetDeck, Twitter for iOS or Twitter for Android as","This means that when you or anyone else logs in to TweetDeck, Twitter for iOS or Twitter for Android as","This means that when you or anyone else logs in to TweetDeck, Twitter for iOS or Twitter for Android as","Cela signifie que lorsque vous ou quelqu'un d’autre se connecte à TweetDeck, Twitter pour iOS ou Twitter pour Android en tant que","This means that when you or anyone else logs in to TweetDeck, Twitter for iOS or Twitter for Android as","This means that when you or anyone else logs in to TweetDeck, Twitter for iOS or Twitter for Android as","This means that when you or anyone else logs in to TweetDeck, Twitter for iOS or Twitter for Android as","これにより、今後、あなたやリンクした別のユーザーが TweetDeck、Twitter for iOS または Twitter for Android 上で ","This means that when you or anyone else logs in to TweetDeck, Twitter for iOS or Twitter for Android as","This means that when you or anyone else logs in to TweetDeck, Twitter for iOS or Twitter for Android as","Isso significa que quando você ou alguém entrar no TweetDeck, Twitter para iOS ou Twitter para Android como","This means that when you or anyone else logs in to TweetDeck, Twitter for iOS or Twitter for Android as","Esto significa que quienquiera que inicie sesión en TweetDeck, Twitter para iOS o Twitter para Android como","Esto significa que quienquiera que inicie sesión en TweetDeck, Twitter para iOS o Twitter para Android como","Esto significa que quienquiera que inicie sesión en TweetDeck, Twitter para iOS o Twitter para Android como","This means that when you or anyone else logs in to TweetDeck, Twitter for iOS or Twitter for Android as","This means that when you or anyone else logs in to TweetDeck, Twitter for iOS or Twitter for Android as","This means that when you or anyone else logs in to TweetDeck, Twitter for iOS or Twitter for Android as"
"in the future, they will be able to take actions on behalf of the account you link here, as well as view and manage other team members.","in the future, they will be able to take actions on behalf of the account you link here, as well as view and manage other team members.","in the future, they will be able to take actions on behalf of the account you link here, as well as view and manage other team members.","u budućnosti, oni će moći obaviti radnje u ime vašeg ovdje povezanoga računa, kao i prikaz i upravljanje ostalim članovima tima.","in the future, they will be able to take actions on behalf of the account you link here, as well as view and manage other team members.","in the future, they will be able to take actions on behalf of the account you link here, as well as view and manage other team members.","in the future, they will be able to take actions on behalf of the account you link here, as well as view and manage other team members.","in the future, they will be able to take actions on behalf of the account you link here, as well as view and manage other team members.","in the future, they will be able to take actions on behalf of the account you link here, as well as view and manage other team members.","dans le futur, il ou elle pourra agir au nom du compte lié ici, ainsi que voir et gérer les autres membres de l'équipe.","in the future, they will be able to take actions on behalf of the account you link here, as well as view and manage other team members.","in the future, they will be able to take actions on behalf of the account you link here, as well as view and manage other team members.","in the future, they will be able to take actions on behalf of the account you link here, as well as view and manage other team members."," としてログインできるようになり、対象アカウントとして操作ができるようになります。管理者権限を付けてリンクしたアカウントは、あなたがここでしたように他のアカウントをリンクしたり他のチームメンバーを閲覧したり、管理したりできるようになります。","in the future, they will be able to take actions on behalf of the account you link here, as well as view and manage other team members.","in the future, they will be able to take actions on behalf of the account you link here, as well as view and manage other team members.","no futuro, eles serão capazes de fazer ações em nome da conta que você conectou aqui, bem como exibir e gerenciar outros membros da equipe.","in the future, they will be able to take actions on behalf of the account you link here, as well as view and manage other team members.","en el futuro, el(la) podrá para tomar acciones en nombre de la cuenta que vinculas aquí, así como ver y administrar otros miembros del equipo.","en el futuro, el(la) podrá para tomar acciones en nombre de la cuenta que vinculas aquí, así como ver y administrar otros miembros del equipo.","en el futuro, el(la) podrá para tomar acciones en nombre de la cuenta que vinculas aquí, así como ver y administrar otros miembros del equipo.","in the future, they will be able to take actions on behalf of the account you link here, as well as view and manage other team members.","in the future, they will be able to take actions on behalf of the account you link here, as well as view and manage other team members.","in the future, they will be able to take actions on behalf of the account you link here, as well as view and manage other team members."
"If you are trying to join a shared account as a team member, ask an admin for the account to invite you as a team member instead of completing this action.","If you are trying to join a shared account as a team member, ask an admin for the account to invite you as a team member instead of completing this action.","If you are trying to join a shared account as a team member, ask an admin for the account to invite you as a team member instead of completing this action.","Ako se pokušavate pridružiti zajedničkom računu kao član tima, pitajte admina računa da vas pozove kao član tima, umjesto da dovršite ovu akciju.","If you are trying to join a shared account as a team member, ask an admin for the account to invite you as a team member instead of completing this action.","If you are trying to join a shared account as a team member, ask an admin for the account to invite you as a team member instead of completing this action.","If you are trying to join a shared account as a team member, ask an admin for the account to invite you as a team member instead of completing this action.","If you are trying to join a shared account as a team member, ask an admin for the account to invite you as a team member instead of completing this action.","If you are trying to join a shared account as a team member, ask an admin for the account to invite you as a team member instead of completing this action.","Si vous voulez rejoindre un compte partagé, demandez à un·e administrateur·ice du compte de vous inviter en tant que membre de l'équipe.","If you are trying to join a shared account as a team member, ask an admin for the account to invite you as a team member instead of completing this action.","If you are trying to join a shared account as a team member, ask an admin for the account to invite you as a team member instead of completing this action.","If you are trying to join a shared account as a team member, ask an admin for the account to invite you as a team member instead of completing this action.","あなたが共有アカウントにチームメンバーとして参加しようとしている場合、ここで操作を続行するのではなく、そのアカウントの管理者にチームメンバーとして招待してもらうよう依頼してください。","If you are trying to join a shared account as a team member, ask an admin for the account to invite you as a team member instead of completing this action.","If you are trying to join a shared account as a team member, ask an admin for the account to invite you as a team member instead of completing this action.","Se você está tentando se juntar a uma conta compartilhada com um membro da equipe, pergunte a um administrador da conta para convidá-lo como um membro da equipe em vez de concluir esta ação.","If you are trying to join a shared account as a team member, ask an admin for the account to invite you as a team member instead of completing this action.","Si estás intentando unirte a una cuenta compartida como miembro del equipo, pídele a un administrador de la cuenta que te invite en lugar de completar esta acción.","Si estás intentando unirte a una cuenta compartida como miembro del equipo, pídele a un administrador de la cuenta que te invite en lugar de completar esta acción.","Si estás intentando unirte a una cuenta compartida como miembro del equipo, pídele a un administrador de la cuenta que te invite en lugar de completar esta acción.","If you are trying to join a shared account as a team member, ask an admin for the account to invite you as a team member instead of completing this action.","If you are trying to join a shared account as a team member, ask an admin for the account to invite you as a team member instead of completing this action.","If you are trying to join a shared account as a team member, ask an admin for the account to invite you as a team member instead of completing this action."
"Learn more about teams","Learn more about teams","Learn more about teams","Saznajte više o timovima","Learn more about teams","Learn more about teams","Learn more about teams","Learn more about teams","Learn more about teams","En apprendre plus sur les équipes","Learn more about teams","Learn more about teams","Learn more about teams","チームの詳細はこちら","Learn more about teams","Learn more about teams","Leia mais sobre as equipes","Learn more about teams","Aprender más sobre los equipos","Aprender más sobre los equipos","Aprender más sobre los equipos","Learn more about teams","Learn more about teams","Learn more about teams"
"Learn more","Learn more","Learn more","Saznaj više","Learn more","Learn more","Learn more","Learn more","Learn more","En savoir plus","Learn more","Learn more","Learn more","詳細情報","Learn more","Dowiedz się więcej","Mais informações","Learn more","Aprender más","Aprender más","Aprender más","Learn more","Learn more","Learn more"
"Terms of Service","Terms of Service","Terms of Service","Uvjeti korištenja","Terms of Service","Terms of Service","Terms of Service","Terms of Service","Terms of Service","Conditions de service","Terms of Service","Terms of Service","Terms of Service","サービス利用規約","Terms of Service","Zasady użytkowania","Termos de Serviço","Terms of Service","Términos de Servicio","Términos de Servicio","Términos de Servicio","Terms of Service","Terms of Service","Terms of Service"
"Privacy Policy","Privacy Policy","Privacy Policy","Pravila o privatnosti","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Politique de confidentialité","Privacy Policy","Privacy Policy","Privacy Policy","プライバシーポリシー","Privacy Policy","Polityka prywatności","Política de Privacidade","Privacy Policy","Política de Privacidad","Política de Privacidad","Política de Privacidad","Privacy Policy","Privacy Policy","Privacy Policy"
"Liked","Liked","Liked","Sviđa mi se","Liked","Liked","Liked","Liked","Liked","Aimé","Liked","Liked","Liked","「いいね」済み","Liked","Liked","Curtiu","Liked","Te gustó","Te gustó","Te gustó","Liked","Liked","Liked"
"Unlike","Unlike","Unlike","Ne sviđa mi se","Unlike","Unlike","Unlike","Unlike","Unlike","Je n'aime plus","Unlike","Unlike","Unlike","「いいね」を取り消す","Unlike","Cofnij polubienie","Descurtir","Unlike","Ya no me gusta","Ya no me gusta","Ya no me gusta","Unlike","Unlike","Unlike"
"Like","Like","Like","Sviđa mi se","Like","Like","Like","Like","Like","J'aime","Like","Like","Like","いいね","Like","Polub","Curtir","Like","Me gusta","Me gusta","Me gusta","Like","Like","Like"
